Therapeutic Class,Generic,Brand,Product Name,description
Therapeutic Class->Analgesic,Generic->Aceclofenac,Brand->Paino,Paino 100 mg Tablet,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Anthelmintic,Generic->Albendazole,Brand->Alben-DS,Alben-DS 400 mg Tablet,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Anthelmintic,Generic->Albendazole,Brand->Alben,Alben 10 mL Suspension,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Urogenital,Generic->Alfuzosin,Brand->Zatral,Zatral 10 mg Tablet,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Cough & cold preparation,Generic->Ambroxol,Brand->Amboten,Amboten 15 mL Paediatric Drops,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Cough & cold preparation,Generic->Ambroxol,Brand->Amboten,Amboten 100 mL Syrup,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->IV Nutrition,Generic->Amino Acid + Dextrose + Eloctrolytes,Brand->Protinex,Protinex Ultra 5/10 IV Infusion,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->IV Nutrition,Generic->Amino Acid + D-Sorbitol + Eloctrolytes,Brand->Protinex,Protinex 500 mL Infusion,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Stomatological,Generic->Amlexanox ,Brand->Sorex,Sorex 5 g Oral Paste,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
Therapeutic Class->Antihypertensive,Generic->Amlodipine ,Brand->Sidopin,Sidopin 5 mg Tablet,"<h4>Generic name</h4>
<ul>
  <li>Generic_Name</li>
</ul>
<h4>Therapeutic Class</h4>
<ul>
  <li>Therapeutic_Name</li>
</ul>
<h4>Pack size</h4>
<ul>
  <li>Pack size</li>
</ul>
<h4>Label claim</h4>
<ul>
  <li>Label claim</li>
</ul>
<h4>Indication</h4>
<ul>
  <li>Indications</li>

</ul>
<h4>Dosage</h4>
<ul>
  <li>Dosage description</li>
</ul>
<i class=""icon-line-download""></i><a href=""#"" target=""_blank"" rel=""noopener"">Download Prescribing Information</a>"
